category,categoryOccurrences,blockerCode,blockedOccurrences,pctOfCategory,informationToObtain
STANDALONE_MESH / alpha_two_sided_depth_read,1083,RUNTIME_PACKET_NOT_MATERIALIZED,1006,92.9,"typed layout packet (texture lanes, scalar/vector packing, masks)"
STANDALONE_MESH / alpha_two_sided_depth_read,1083,SAMPLER_STATE_UNPROVEN,1006,92.9,per-lane sampler state (filter/address/mip) from source material
STANDALONE_MESH / alpha_two_sided_depth_read,1083,SCALAR_VECTOR_PACKING_UNRESOLVED,1006,92.9,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
STANDALONE_MESH / alpha_two_sided_depth_read,1083,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,1006,92.9,t#/s# register topology from DXBC signature
STANDALONE_MESH / alpha_two_sided_depth_read,1083,OUTPUT_TOPOLOGY_MRT_UNPROVEN,1001,92.4,MRT topology: RT0 scene color + RT1 distortion semantics
STANDALONE_MESH / alpha_two_sided_depth_read,1083,SCENE_INPUTS_UNPROVEN,1001,92.4,scene depth/color feedback requirement per program
STANDALONE_MESH / alpha_two_sided_depth_read,1083,CURRENT_PACKET_CAPACITY_EXCEEDED,844,77.9,layout count caps must be raised (texture lanes / scalars / vectors)
STANDALONE_MESH / alpha_two_sided_depth_read,1083,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,680,62.8,per-occurrence static parameter set -> exact ShaderMap permutation
STANDALONE_MESH / alpha_two_sided_depth_read,1083,COOKED_CARRIER_MISMATCH,281,25.9,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
STANDALONE_MESH / alpha_two_sided_depth_read,1083,NAMED_ABI_BLOCKED,77,7.1,named ABI closure for the parent family
STANDALONE_MESH / alpha_two_sided_depth_read,1083,SOURCE_REGISTER_BINDING_UNRESOLVED,77,7.1,map source parameter names -> registers
STANDALONE_MESH / alpha_two_sided_depth_read,1083,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,77,7.1,map source texture parameter -> descriptor slot
STANDALONE_MESH / alpha_two_sided_depth_read,1083,PROGRAM_EQUATION_EVIDENCE_ABSENT,74,6.8,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
STANDALONE_MESH / alpha_two_sided_depth_read,1083,PARENT_UNRESOLVED,52,4.8,no parent material resolved for the occurrence
STANDALONE_MESH / alpha_two_sided_depth_read,1083,CHILD_PARENT_RESOLUTION_BLOCKED,44,4.1,child MIC -> parent join is BLOCKED (V1 blocker bucket)
STANDALONE_MESH / alpha_two_sided_depth_read,1083,SHADERMAP_ABSENT,22,2.0,no ShaderMap for the parent
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,COMPILED_DRAW_DISPATCH_UNPROVEN,946,100.0,C++ compiled adapter + actual draw submission proof (harness)
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,VERTEX_FACTORY_UNPROVEN,946,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,STAGE_INPUT_SEMANTICS_UNPROVEN,660,69.8,stage input semantics (which VS outputs feed the PS)
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,RUNTIME_PACKET_NOT_MATERIALIZED,632,66.8,"typed layout packet (texture lanes, scalar/vector packing, masks)"
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SAMPLER_STATE_UNPROVEN,632,66.8,per-lane sampler state (filter/address/mip) from source material
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SCALAR_VECTOR_PACKING_UNRESOLVED,632,66.8,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,627,66.3,t#/s# register topology from DXBC signature
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SCENE_INPUTS_UNPROVEN,551,58.2,scene depth/color feedback requirement per program
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,OUTPUT_TOPOLOGY_MRT_UNPROVEN,516,54.5,MRT topology: RT0 scene color + RT1 distortion semantics
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,394,41.6,per-occurrence static parameter set -> exact ShaderMap permutation
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,PRODUCT_CONSUMER_ABSENT,347,36.7,"the occurrence is not in any published Product cue (composition work, not material)"
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,CURRENT_PACKET_CAPACITY_EXCEEDED,332,35.1,layout count caps must be raised (texture lanes / scalars / vectors)
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,NAMED_ABI_BLOCKED,310,32.8,named ABI closure for the parent family
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SOURCE_REGISTER_BINDING_UNRESOLVED,310,32.8,map source parameter names -> registers
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,310,32.8,map source texture parameter -> descriptor slot
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,PROGRAM_EQUATION_EVIDENCE_ABSENT,246,26.0,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,DXBC_EXTRACTION_BLOCKED,116,12.3,DXBC not yet extracted for this family/permutation
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,CHILD_PARENT_RESOLUTION_BLOCKED,96,10.1,child MIC -> parent join is BLOCKED (V1 blocker bucket)
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,PARENT_UNRESOLVED,83,8.8,no parent material resolved for the occurrence
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SHADERMAP_ABSENT,72,7.6,no ShaderMap for the parent
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,COOKED_CARRIER_MISMATCH,52,5.5,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,PROGRAM_EVIDENCE_ABSENT,11,1.2,no program evidence row
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,CHILD_PARENT_BLOCKED_EXACT_PROMOTION_FORBIDDEN,5,0.5,child-parent BLOCKED so exact promotion is forbidden
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,EXACT_VARIANT_ACTUAL_VF_PASS_UNPROVEN,5,0.5,exact variant VF/pass not proven
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,EXACT_VARIANT_PACKET_TRANSLATION_REQUIRED,5,0.5,exact native wire must be translated into a typed packet
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,EXACT_VARIANT_RUNTIME_ADMISSION_UNPROVEN,5,0.5,exact variant not admitted at runtime
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,EXACT_VARIANT_VISUAL_ADMISSION_UNPROVEN,5,0.5,user visual admission missing
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,SOURCE_VALUE_REPLAY_UNPROVEN,5,0.5,source parameter value replay not proven
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,COMPILED_DRAW_DISPATCH_UNPROVEN,792,100.0,C++ compiled adapter + actual draw submission proof (harness)
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,PRODUCT_CONSUMER_ABSENT,792,100.0,"the occurrence is not in any published Product cue (composition work, not material)"
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,VERTEX_FACTORY_UNPROVEN,792,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,STAGE_INPUT_SEMANTICS_UNPROVEN,586,74.0,stage input semantics (which VS outputs feed the PS)
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,RUNTIME_PACKET_NOT_MATERIALIZED,541,68.3,"typed layout packet (texture lanes, scalar/vector packing, masks)"
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,SAMPLER_STATE_UNPROVEN,541,68.3,per-lane sampler state (filter/address/mip) from source material
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,SCALAR_VECTOR_PACKING_UNRESOLVED,541,68.3,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,539,68.1,t#/s# register topology from DXBC signature
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,348,43.9,per-occurrence static parameter set -> exact ShaderMap permutation
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,NAMED_ABI_BLOCKED,251,31.7,named ABI closure for the parent family
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,SOURCE_REGISTER_BINDING_UNRESOLVED,251,31.7,map source parameter names -> registers
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,251,31.7,map source texture parameter -> descriptor slot
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,PROGRAM_EQUATION_EVIDENCE_ABSENT,204,25.8,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,DXBC_EXTRACTION_BLOCKED,173,21.8,DXBC not yet extracted for this family/permutation
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,CURRENT_PACKET_CAPACITY_EXCEEDED,95,12.0,layout count caps must be raised (texture lanes / scalars / vectors)
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,SCENE_INPUTS_UNPROVEN,87,11.0,scene depth/color feedback requirement per program
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,COOKED_CARRIER_MISMATCH,32,4.0,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,CHILD_PARENT_RESOLUTION_BLOCKED,20,2.5,child MIC -> parent join is BLOCKED (V1 blocker bucket)
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,PARENT_UNRESOLVED,20,2.5,no parent material resolved for the occurrence
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,SHADERMAP_ABSENT,13,1.6,no ShaderMap for the parent
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,EXACT_VARIANT_RENDERER_KIND_MISMATCH,8,1.0,exact variant renderer kind disagrees with authored kind
LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,792,OUTPUT_TOPOLOGY_MRT_UNPROVEN,1,0.1,MRT topology: RT0 scene color + RT1 distortion semantics
MESH_PARTICLE / alpha_two_sided_depth_read,789,COMPILED_DRAW_DISPATCH_UNPROVEN,789,100.0,C++ compiled adapter + actual draw submission proof (harness)
MESH_PARTICLE / alpha_two_sided_depth_read,789,VERTEX_FACTORY_UNPROVEN,789,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
MESH_PARTICLE / alpha_two_sided_depth_read,789,WPO_VERTEX_PROGRAM_UNPROVEN,789,100.0,"world-position-offset vertex program (VS, not PS) must be recovered"
MESH_PARTICLE / alpha_two_sided_depth_read,789,STAGE_INPUT_SEMANTICS_UNPROVEN,650,82.4,stage input semantics (which VS outputs feed the PS)
MESH_PARTICLE / alpha_two_sided_depth_read,789,RUNTIME_PACKET_NOT_MATERIALIZED,639,81.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
MESH_PARTICLE / alpha_two_sided_depth_read,789,SAMPLER_STATE_UNPROVEN,639,81.0,per-lane sampler state (filter/address/mip) from source material
MESH_PARTICLE / alpha_two_sided_depth_read,789,SCALAR_VECTOR_PACKING_UNRESOLVED,639,81.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
MESH_PARTICLE / alpha_two_sided_depth_read,789,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,639,81.0,t#/s# register topology from DXBC signature
MESH_PARTICLE / alpha_two_sided_depth_read,789,SCENE_INPUTS_UNPROVEN,637,80.7,scene depth/color feedback requirement per program
MESH_PARTICLE / alpha_two_sided_depth_read,789,OUTPUT_TOPOLOGY_MRT_UNPROVEN,630,79.8,MRT topology: RT0 scene color + RT1 distortion semantics
MESH_PARTICLE / alpha_two_sided_depth_read,789,CURRENT_PACKET_CAPACITY_EXCEEDED,525,66.5,layout count caps must be raised (texture lanes / scalars / vectors)
MESH_PARTICLE / alpha_two_sided_depth_read,789,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,364,46.1,per-occurrence static parameter set -> exact ShaderMap permutation
MESH_PARTICLE / alpha_two_sided_depth_read,789,PRODUCT_CONSUMER_ABSENT,309,39.2,"the occurrence is not in any published Product cue (composition work, not material)"
MESH_PARTICLE / alpha_two_sided_depth_read,789,NAMED_ABI_BLOCKED,143,18.1,named ABI closure for the parent family
MESH_PARTICLE / alpha_two_sided_depth_read,789,SOURCE_REGISTER_BINDING_UNRESOLVED,143,18.1,map source parameter names -> registers
MESH_PARTICLE / alpha_two_sided_depth_read,789,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,143,18.1,map source texture parameter -> descriptor slot
MESH_PARTICLE / alpha_two_sided_depth_read,789,PROGRAM_EQUATION_EVIDENCE_ABSENT,128,16.2,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
MESH_PARTICLE / alpha_two_sided_depth_read,789,SHADERMAP_ABSENT,103,13.1,no ShaderMap for the parent
MESH_PARTICLE / alpha_two_sided_depth_read,789,COOKED_CARRIER_MISMATCH,100,12.7,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
MESH_PARTICLE / alpha_two_sided_depth_read,789,CHILD_PARENT_RESOLUTION_BLOCKED,43,5.4,child MIC -> parent join is BLOCKED (V1 blocker bucket)
MESH_PARTICLE / alpha_two_sided_depth_read,789,PARENT_UNRESOLVED,23,2.9,no parent material resolved for the occurrence
MESH_PARTICLE / alpha_two_sided_depth_read,789,PROGRAM_EVIDENCE_ABSENT,4,0.5,no program evidence row
MESH_PARTICLE / alpha_two_sided_depth_read,789,DXBC_EXTRACTION_BLOCKED,2,0.3,DXBC not yet extracted for this family/permutation
MESH_PARTICLE / alpha_two_sided_depth_read,789,CHILD_PARENT_BLOCKED_EXACT_PROMOTION_FORBIDDEN,2,0.3,child-parent BLOCKED so exact promotion is forbidden
SPRITE_PARTICLE / additive_two_sided_depth_read,694,COMPILED_DRAW_DISPATCH_UNPROVEN,694,100.0,C++ compiled adapter + actual draw submission proof (harness)
SPRITE_PARTICLE / additive_two_sided_depth_read,694,VERTEX_FACTORY_UNPROVEN,694,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
SPRITE_PARTICLE / additive_two_sided_depth_read,694,PRODUCT_CONSUMER_ABSENT,421,60.7,"the occurrence is not in any published Product cue (composition work, not material)"
SPRITE_PARTICLE / additive_two_sided_depth_read,694,STAGE_INPUT_SEMANTICS_UNPROVEN,405,58.4,stage input semantics (which VS outputs feed the PS)
SPRITE_PARTICLE / additive_two_sided_depth_read,694,NAMED_ABI_BLOCKED,371,53.5,named ABI closure for the parent family
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SOURCE_REGISTER_BINDING_UNRESOLVED,371,53.5,map source parameter names -> registers
SPRITE_PARTICLE / additive_two_sided_depth_read,694,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,371,53.5,map source texture parameter -> descriptor slot
SPRITE_PARTICLE / additive_two_sided_depth_read,694,RUNTIME_PACKET_NOT_MATERIALIZED,311,44.8,"typed layout packet (texture lanes, scalar/vector packing, masks)"
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SAMPLER_STATE_UNPROVEN,311,44.8,per-lane sampler state (filter/address/mip) from source material
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SCALAR_VECTOR_PACKING_UNRESOLVED,311,44.8,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
SPRITE_PARTICLE / additive_two_sided_depth_read,694,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,298,42.9,t#/s# register topology from DXBC signature
SPRITE_PARTICLE / additive_two_sided_depth_read,694,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,181,26.1,per-occurrence static parameter set -> exact ShaderMap permutation
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SCENE_INPUTS_UNPROVEN,129,18.6,scene depth/color feedback requirement per program
SPRITE_PARTICLE / additive_two_sided_depth_read,694,PROGRAM_EVIDENCE_ABSENT,122,17.6,no program evidence row
SPRITE_PARTICLE / additive_two_sided_depth_read,694,DXBC_EXTRACTION_BLOCKED,116,16.7,DXBC not yet extracted for this family/permutation
SPRITE_PARTICLE / additive_two_sided_depth_read,694,PROGRAM_EQUATION_EVIDENCE_ABSENT,86,12.4,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
SPRITE_PARTICLE / additive_two_sided_depth_read,694,CHILD_PARENT_RESOLUTION_BLOCKED,66,9.5,child MIC -> parent join is BLOCKED (V1 blocker bucket)
SPRITE_PARTICLE / additive_two_sided_depth_read,694,CURRENT_PACKET_CAPACITY_EXCEEDED,48,6.9,layout count caps must be raised (texture lanes / scalars / vectors)
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SHADERMAP_ABSENT,23,3.3,no ShaderMap for the parent
SPRITE_PARTICLE / additive_two_sided_depth_read,694,PARENT_UNRESOLVED,16,2.3,no parent material resolved for the occurrence
SPRITE_PARTICLE / additive_two_sided_depth_read,694,COOKED_CARRIER_MISMATCH,15,2.2,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
SPRITE_PARTICLE / additive_two_sided_depth_read,694,OUTPUT_TOPOLOGY_MRT_UNPROVEN,2,0.3,MRT topology: RT0 scene color + RT1 distortion semantics
SPRITE_PARTICLE / additive_two_sided_depth_read,694,EXACT_VARIANT_ACTUAL_VF_PASS_UNPROVEN,1,0.1,exact variant VF/pass not proven
SPRITE_PARTICLE / additive_two_sided_depth_read,694,EXACT_VARIANT_PACKET_TRANSLATION_REQUIRED,1,0.1,exact native wire must be translated into a typed packet
SPRITE_PARTICLE / additive_two_sided_depth_read,694,EXACT_VARIANT_RUNTIME_ADMISSION_UNPROVEN,1,0.1,exact variant not admitted at runtime
SPRITE_PARTICLE / additive_two_sided_depth_read,694,EXACT_VARIANT_VISUAL_ADMISSION_UNPROVEN,1,0.1,user visual admission missing
SPRITE_PARTICLE / additive_two_sided_depth_read,694,SOURCE_VALUE_REPLAY_UNPROVEN,1,0.1,source parameter value replay not proven
SPRITE_PARTICLE / additive_one_sided_depth_read,639,COMPILED_DRAW_DISPATCH_UNPROVEN,639,100.0,C++ compiled adapter + actual draw submission proof (harness)
SPRITE_PARTICLE / additive_one_sided_depth_read,639,VERTEX_FACTORY_UNPROVEN,639,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
SPRITE_PARTICLE / additive_one_sided_depth_read,639,STAGE_INPUT_SEMANTICS_UNPROVEN,430,67.3,stage input semantics (which VS outputs feed the PS)
SPRITE_PARTICLE / additive_one_sided_depth_read,639,RUNTIME_PACKET_NOT_MATERIALIZED,390,61.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
SPRITE_PARTICLE / additive_one_sided_depth_read,639,SAMPLER_STATE_UNPROVEN,390,61.0,per-lane sampler state (filter/address/mip) from source material
SPRITE_PARTICLE / additive_one_sided_depth_read,639,SCALAR_VECTOR_PACKING_UNRESOLVED,390,61.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
SPRITE_PARTICLE / additive_one_sided_depth_read,639,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,386,60.4,t#/s# register topology from DXBC signature
SPRITE_PARTICLE / additive_one_sided_depth_read,639,NAMED_ABI_BLOCKED,249,39.0,named ABI closure for the parent family
SPRITE_PARTICLE / additive_one_sided_depth_read,639,SOURCE_REGISTER_BINDING_UNRESOLVED,249,39.0,map source parameter names -> registers
SPRITE_PARTICLE / additive_one_sided_depth_read,639,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,249,39.0,map source texture parameter -> descriptor slot
SPRITE_PARTICLE / additive_one_sided_depth_read,639,DXBC_EXTRACTION_BLOCKED,205,32.1,DXBC not yet extracted for this family/permutation
SPRITE_PARTICLE / additive_one_sided_depth_read,639,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,175,27.4,per-occurrence static parameter set -> exact ShaderMap permutation
SPRITE_PARTICLE / additive_one_sided_depth_read,639,PRODUCT_CONSUMER_ABSENT,138,21.6,"the occurrence is not in any published Product cue (composition work, not material)"
SPRITE_PARTICLE / additive_one_sided_depth_read,639,SCENE_INPUTS_UNPROVEN,119,18.6,scene depth/color feedback requirement per program
SPRITE_PARTICLE / additive_one_sided_depth_read,639,CURRENT_PACKET_CAPACITY_EXCEEDED,36,5.6,layout count caps must be raised (texture lanes / scalars / vectors)
SPRITE_PARTICLE / additive_one_sided_depth_read,639,COOKED_CARRIER_MISMATCH,27,4.2,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
SPRITE_PARTICLE / additive_one_sided_depth_read,639,CHILD_PARENT_RESOLUTION_BLOCKED,13,2.0,child MIC -> parent join is BLOCKED (V1 blocker bucket)
SPRITE_PARTICLE / additive_one_sided_depth_read,639,EXACT_VARIANT_ACTUAL_VF_PASS_UNPROVEN,4,0.6,exact variant VF/pass not proven
SPRITE_PARTICLE / additive_one_sided_depth_read,639,EXACT_VARIANT_PACKET_TRANSLATION_REQUIRED,4,0.6,exact native wire must be translated into a typed packet
SPRITE_PARTICLE / additive_one_sided_depth_read,639,EXACT_VARIANT_RUNTIME_ADMISSION_UNPROVEN,4,0.6,exact variant not admitted at runtime
SPRITE_PARTICLE / additive_one_sided_depth_read,639,EXACT_VARIANT_VISUAL_ADMISSION_UNPROVEN,4,0.6,user visual admission missing
SPRITE_PARTICLE / additive_one_sided_depth_read,639,SOURCE_VALUE_REPLAY_UNPROVEN,4,0.6,source parameter value replay not proven
SPRITE_PARTICLE / additive_one_sided_depth_read,639,PROGRAM_EVIDENCE_ABSENT,4,0.6,no program evidence row
SPRITE_PARTICLE / additive_one_sided_depth_read,639,CHILD_PARENT_BLOCKED_EXACT_PROMOTION_FORBIDDEN,1,0.2,child-parent BLOCKED so exact promotion is forbidden
SPRITE_PARTICLE / alpha_one_sided_depth_read,613,COMPILED_DRAW_DISPATCH_UNPROVEN,613,100.0,C++ compiled adapter + actual draw submission proof (harness)
SPRITE_PARTICLE / alpha_one_sided_depth_read,613,VERTEX_FACTORY_UNPROVEN,613,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
